Species,Region,Year,prov_runsize_raw,prov_runsize_relative
Sockeye,Fraser,1954,12001679,42.5
Sockeye,Fraser,1955,2679569,9.5
Sockeye,Fraser,1956,2838504,10.1
Sockeye,Fraser,1957,4856804,17.2
Sockeye,Fraser,1958,17653721,62.6
Sockeye,Fraser,1959,4617322,16.4
Sockeye,Fraser,1960,3412082,12.1
Sockeye,Fraser,1961,4615081,16.4
Sockeye,Fraser,1962,3449790,12.2
Sockeye,Fraser,1963,3936455,14.0
Sockeye,Fraser,1964,1674032,5.9
Sockeye,Fraser,1965,3095841,11.0
Sockeye,Fraser,1966,5307168,18.8
Sockeye,Fraser,1967,6491766,23.0
Sockeye,Fraser,1968,2894618,10.3
Sockeye,Fraser,1969,4763179,16.9
Sockeye,Fraser,1970,5986703,21.2
Sockeye,Fraser,1971,7611882,27.0
Sockeye,Fraser,1972,3658391,13.0
Sockeye,Fraser,1973,6686591,23.7
Sockeye,Fraser,1974,8501963,30.1
Sockeye,Fraser,1975,3635378,12.9
Sockeye,Fraser,1976,4307980,15.3
Sockeye,Fraser,1977,6155433,21.8
Sockeye,Fraser,1978,9357580,33.2
Sockeye,Fraser,1979,6612257,23.4
Sockeye,Fraser,1980,3246521,11.5
Sockeye,Fraser,1981,8154973,28.9
Sockeye,Fraser,1982,14047628,49.8
Sockeye,Fraser,1983,5261395,18.6
Sockeye,Fraser,1984,6046930,21.4
Sockeye,Fraser,1985,13650117,48.4
Sockeye,Fraser,1986,16878357,59.8
Sockeye,Fraser,1987,7458085,26.4
Sockeye,Fraser,1988,3757001,13.3
Sockeye,Fraser,1989,18671875,66.2
Sockeye,Fraser,1990,21205342,75.2
Sockeye,Fraser,1991,11545117,40.9
Sockeye,Fraser,1992,6372752,22.6
Sockeye,Fraser,1993,22748383,80.6
Sockeye,Fraser,1994,16804691,59.6
Sockeye,Fraser,1995,3803702,13.5
Sockeye,Fraser,1996,4328853,15.3
Sockeye,Fraser,1997,16557244,58.7
Sockeye,Fraser,1998,10869581,38.5
Sockeye,Fraser,1999,3644642,12.9
Sockeye,Fraser,2000,4557566,16.2
Sockeye,Fraser,2001,6348853,22.5
Sockeye,Fraser,2002,15391037,54.6
Sockeye,Fraser,2003,4861713,17.2
Sockeye,Fraser,2004,4257331,15.1
Sockeye,Fraser,2005,6955043,24.7
Sockeye,Fraser,2006,13052421,46.3
Sockeye,Fraser,2007,1571054,5.6
Sockeye,Fraser,2008,1719263,6.1
Sockeye,Fraser,2009,1642221,5.8
Sockeye,Fraser,2010,28212369,100.0
Sockeye,Fraser,2011,5127365,18.2
Sockeye,Fraser,2012,2063508,7.3
Sockeye,Fraser,2013,4266304,15.1
Sockeye,Fraser,2014,18891161,67.0
Sockeye,Fraser,2015,2010041,7.1
Sockeye,Fraser,2016,834527,3.0
Sockeye,Fraser,2017,1289405,4.6
Sockeye,Fraser,2018,11031652,39.1
Sockeye,Fraser,2019,590335,2.1
Sockeye,Fraser,2020,397568,1.4
Sockeye,Fraser,2021,2649261,9.4
Sockeye,Fraser,2022,6720083,23.8
