parameter,location,species,year,datavalue
Total run,Bella Coola-Bentinck,Chinook,1950,
Total run,Bella Coola-Bentinck,Chinook,1951,
Total run,Bella Coola-Bentinck,Chinook,1952,
Total run,Bella Coola-Bentinck,Chinook,1953,
Total run,Bella Coola-Bentinck,Chinook,1954,
Total run,Bella Coola-Bentinck,Chinook,1955,
Total run,Bella Coola-Bentinck,Chinook,1956,
Total run,Bella Coola-Bentinck,Chinook,1957,
Total run,Bella Coola-Bentinck,Chinook,1958,
Total run,Bella Coola-Bentinck,Chinook,1959,
Total run,Bella Coola-Bentinck,Chinook,1960,
Total run,Bella Coola-Bentinck,Chinook,1961,
Total run,Bella Coola-Bentinck,Chinook,1962,
Total run,Bella Coola-Bentinck,Chinook,1963,
Total run,Bella Coola-Bentinck,Chinook,1964,
Total run,Bella Coola-Bentinck,Chinook,1965,
Total run,Bella Coola-Bentinck,Chinook,1966,
Total run,Bella Coola-Bentinck,Chinook,1967,
Total run,Bella Coola-Bentinck,Chinook,1968,
Total run,Bella Coola-Bentinck,Chinook,1969,
Total run,Bella Coola-Bentinck,Chinook,1970,
Total run,Bella Coola-Bentinck,Chinook,1971,
Total run,Bella Coola-Bentinck,Chinook,1972,
Total run,Bella Coola-Bentinck,Chinook,1973,
Total run,Bella Coola-Bentinck,Chinook,1974,
Total run,Bella Coola-Bentinck,Chinook,1975,
Total run,Bella Coola-Bentinck,Chinook,1976,
Total run,Bella Coola-Bentinck,Chinook,1977,
Total run,Bella Coola-Bentinck,Chinook,1978,
Total run,Bella Coola-Bentinck,Chinook,1979,
Total run,Bella Coola-Bentinck,Chinook,1980,
Total run,Bella Coola-Bentinck,Chinook,1981,
Total run,Bella Coola-Bentinck,Chinook,1982,
Total run,Bella Coola-Bentinck,Chinook,1983,
Total run,Bella Coola-Bentinck,Chinook,1984,
Total run,Bella Coola-Bentinck,Chinook,1985,40707
Total run,Bella Coola-Bentinck,Chinook,1986,31460
Total run,Bella Coola-Bentinck,Chinook,1987,21306
Total run,Bella Coola-Bentinck,Chinook,1988,22155
Total run,Bella Coola-Bentinck,Chinook,1989,32494
Total run,Bella Coola-Bentinck,Chinook,1990,30060
Total run,Bella Coola-Bentinck,Chinook,1991,24038
Total run,Bella Coola-Bentinck,Chinook,1992,41844
Total run,Bella Coola-Bentinck,Chinook,1993,52074
Total run,Bella Coola-Bentinck,Chinook,1994,35180
Total run,Bella Coola-Bentinck,Chinook,1995,44327
Total run,Bella Coola-Bentinck,Chinook,1996,33150
Total run,Bella Coola-Bentinck,Chinook,1997,26893
Total run,Bella Coola-Bentinck,Chinook,1998,35997
