Species,Region,Year,prov_runsize_raw,prov_runsize_relative
Chinook,Transboundary,2002,120954,78.50876319
Chinook,Transboundary,2003,98319,63.81684846
Chinook,Transboundary,2004,147263,95.58539605
Chinook,Transboundary,2005,154064,100
Chinook,Transboundary,2006,124666,80.91846438
Chinook,Transboundary,2007,55280,35.88108941
Chinook,Transboundary,2008,64271,41.71694382
Chinook,Transboundary,2009,53092,34.46089695
Chinook,Transboundary,2010,57658,37.42488608
Chinook,Transboundary,2011,45492,29.52809388
Chinook,Transboundary,2012,51671,33.53846409
Chinook,Transboundary,2013,42335,27.47846306
Chinook,Transboundary,2014,57479,37.30827246
Chinook,Transboundary,2015,55541,36.0505446
Chinook,Transboundary,2016,27773,18.02669054
Chinook,Transboundary,2017,17231,11.1841852
Chinook,Transboundary,2018,17222,11.17871022
Chinook,Transboundary,2019,27653,17.94917746
Chinook,Transboundary,2020,27629,17.93330098
Chinook,Transboundary,2021,21787,14.14174196
Coho,Transboundary,1992,217631,63.13763262
Coho,Transboundary,1993,250108,72.55964003
Coho,Transboundary,1994,344693,100
Coho,Transboundary,1995,188432,54.66661638
Coho,Transboundary,1996,100993,29.29940556
Coho,Transboundary,1997,52245,15.15696576
Coho,Transboundary,1998,122979,35.67783506
Coho,Transboundary,1999,123579,35.851903
Coho,Transboundary,2000,114245,33.1439861
Coho,Transboundary,2001,170928,49.58847438
Coho,Transboundary,2002,325842,94.53107548
Coho,Transboundary,2003,268779,77.97634417
Coho,Transboundary,2004,255287,74.06213645
Coho,Transboundary,2005,226859,65.81479752
Coho,Transboundary,2006,229327,66.53079697
Coho,Transboundary,2007,135157,39.21083399
Coho,Transboundary,2008,179466,52.06546115
Coho,Transboundary,2009,226706,65.77041019
Coho,Transboundary,2010,250934,72.79927356
Coho,Transboundary,2011,134591,39.04648484
Coho,Transboundary,2012,114219,33.13644315
Coho,Transboundary,2013,151946,44.08144572
Coho,Transboundary,2014,191191,55.46712918
Coho,Transboundary,2015,108873,31.58560136
Coho,Transboundary,2016,126705,36.75879696
Coho,Transboundary,2017,110884,32.16880964
Coho,Transboundary,2018,86323,25.04349462
Coho,Transboundary,2019,119665,34.71646738
Coho,Transboundary,2020,77931,22.60881422
Coho,Transboundary,2021,119279,34.60446612
Sockeye,Transboundary,1984,229852,34.93254545
Sockeye,Transboundary,1985,373260,56.72736123
Sockeye,Transboundary,1986,75456,11.46766574
Sockeye,Transboundary,1987,154667,23.50596938
Sockeye,Transboundary,1988,126461,19.21936514
Sockeye,Transboundary,1989,234913,35.70164028
Sockeye,Transboundary,1990,252471,38.37010793
Sockeye,Transboundary,1991,361603,54.95573737
Sockeye,Transboundary,1992,452754,68.80868392
Sockeye,Transboundary,1993,515752,78.3829838
Sockeye,Transboundary,1994,396227,60.21779503
Sockeye,Transboundary,1995,414954,63.06394176
Sockeye,Transboundary,1996,657989,100
Sockeye,Transboundary,1997,379297,57.64486684
Sockeye,Transboundary,1998,236035,35.87216433
Sockeye,Transboundary,1999,271290,41.23017972
Sockeye,Transboundary,2000,292956,44.52288231
Sockeye,Transboundary,2001,464190,70.54678047
Sockeye,Transboundary,2002,290334,44.12437376
Sockeye,Transboundary,2003,511512,77.73866412
Sockeye,Transboundary,2004,474256,72.07662065
Sockeye,Transboundary,2005,393517,59.80599847
Sockeye,Transboundary,2006,440958,67.01594265
Sockeye,Transboundary,2007,322235,48.97268966
Sockeye,Transboundary,2008,273932,41.63168751
Sockeye,Transboundary,2009,281324,42.75511023
Sockeye,Transboundary,2010,284515,43.24007261
Sockeye,Transboundary,2011,367320,55.82456605
Sockeye,Transboundary,2012,277946,42.24171205
Sockeye,Transboundary,2013,302194,45.92682729
Sockeye,Transboundary,2014,248398,37.75100364
Sockeye,Transboundary,2015,318852,48.45852121
Sockeye,Transboundary,2016,469060,71.28689019
Sockeye,Transboundary,2017,264536,40.20365289
Sockeye,Transboundary,2018,176811,26.87148184
Sockeye,Transboundary,2019,260758,39.62951457
Sockeye,Transboundary,2020,159690,24.26945291
Sockeye,Transboundary,2021,304300,46.24692491
