,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,800,Chum,1950,NA,NA,NA,HG
2,801,Chum,1950,NA,149325,NA,HG
3,802,Chum,1950,NA,5850,NA,HG
4,803,Chum,1950,NA,29500,NA,HG
5,804,Chum,1950,NA,81000,NA,HG
6,805,Chinook,1950,NA,2000,NA,HG
7,806,Chinook,1950,NA,NA,NA,HG
8,807,Coho,1950,NA,22685,NA,HG
9,808,Coho,1950,NA,1075,NA,HG
10,809,Coho,1950,NA,28100,NA,HG
11,810,Pink (Even),1950,NA,673500,NA,HG
12,811,Pink (Even),1950,NA,427525,NA,HG
13,812,Pink (Even),1950,NA,10150,NA,HG
14,813,Pink (Odd),1950,NA,NA,NA,HG
15,814,Pink (Odd),1950,NA,NA,NA,HG
16,815,Pink (Odd),1950,NA,NA,NA,HG
17,816,River Sockeye,1950,NA,NA,NA,HG
18,817,River Sockeye,1950,NA,NA,NA,HG
19,818,River Sockeye,1950,NA,NA,NA,HG
20,819,Lake Sockeye,1950,NA,7500,NA,HG
21,820,Lake Sockeye,1950,NA,3500,NA,HG
22,821,Lake Sockeye,1950,NA,NA,NA,HG
23,822,Lake Sockeye,1950,NA,NA,NA,HG
24,823,Lake Sockeye,1950,NA,1.00E+05,NA,HG
25,824,Lake Sockeye,1950,NA,NA,NA,HG
26,825,Lake Sockeye,1950,NA,NA,NA,HG
27,826,Lake Sockeye,1950,NA,NA,NA,HG
28,827,Lake Sockeye,1950,NA,7500,NA,HG
29,800,Chum,1951,NA,3000,NA,HG
30,801,Chum,1951,NA,200400,NA,HG
31,802,Chum,1951,NA,14400,NA,HG
32,803,Chum,1951,NA,84500,NA,HG
33,804,Chum,1951,NA,98500,NA,HG
34,805,Chinook,1951,NA,NA,NA,HG
35,806,Chinook,1951,NA,NA,NA,HG
36,807,Coho,1951,NA,31600,NA,HG
37,808,Coho,1951,NA,25800,NA,HG
38,809,Coho,1951,NA,40400,NA,HG
39,810,Pink (Even),1951,NA,NA,NA,HG
40,811,Pink (Even),1951,NA,NA,NA,HG
41,812,Pink (Even),1951,NA,NA,NA,HG
42,813,Pink (Odd),1951,NA,15000,NA,HG
43,814,Pink (Odd),1951,NA,NA,NA,HG
44,815,Pink (Odd),1951,NA,40000,NA,HG
45,816,River Sockeye,1951,NA,NA,NA,HG
46,817,River Sockeye,1951,NA,NA,NA,HG
47,818,River Sockeye,1951,NA,NA,NA,HG
48,819,Lake Sockeye,1951,NA,7500,NA,HG
49,820,Lake Sockeye,1951,NA,7500,NA,HG
50,821,Lake Sockeye,1951,NA,NA,NA,HG
51,822,Lake Sockeye,1951,NA,NA,NA,HG
52,823,Lake Sockeye,1951,NA,7500,NA,HG
53,824,Lake Sockeye,1951,NA,NA,NA,HG
54,825,Lake Sockeye,1951,NA,3500,NA,HG
55,826,Lake Sockeye,1951,NA,NA,NA,HG
56,827,Lake Sockeye,1951,NA,7500,NA,HG
57,800,Chum,1952,NA,7500,NA,HG
58,801,Chum,1952,NA,267050,NA,HG
59,802,Chum,1952,NA,46000,NA,HG
60,803,Chum,1952,NA,7250,NA,HG
61,804,Chum,1952,NA,131500,NA,HG
62,805,Chinook,1952,NA,NA,NA,HG
63,806,Chinook,1952,NA,NA,NA,HG
64,807,Coho,1952,NA,7650,NA,HG
65,808,Coho,1952,NA,NA,NA,HG
66,809,Coho,1952,NA,13250,NA,HG
67,810,Pink (Even),1952,NA,1141500,NA,HG
68,811,Pink (Even),1952,NA,493500,NA,HG
69,812,Pink (Even),1952,NA,400,NA,HG
70,813,Pink (Odd),1952,NA,NA,NA,HG
71,814,Pink (Odd),1952,NA,NA,NA,HG
72,815,Pink (Odd),1952,NA,NA,NA,HG
73,816,River Sockeye,1952,NA,NA,NA,HG
74,817,River Sockeye,1952,NA,NA,NA,HG
75,818,River Sockeye,1952,NA,NA,NA,HG
76,819,Lake Sockeye,1952,NA,NA,NA,HG
77,820,Lake Sockeye,1952,NA,NA,NA,HG
78,821,Lake Sockeye,1952,NA,NA,NA,HG
79,822,Lake Sockeye,1952,NA,NA,NA,HG
80,823,Lake Sockeye,1952,NA,7500,NA,HG
81,824,Lake Sockeye,1952,NA,NA,NA,HG
82,825,Lake Sockeye,1952,NA,NA,NA,HG
83,826,Lake Sockeye,1952,NA,NA,NA,HG
84,827,Lake Sockeye,1952,NA,25,NA,HG
85,800,Chum,1953,NA,NA,NA,HG
86,801,Chum,1953,NA,603250,NA,HG
87,802,Chum,1953,NA,42550,NA,HG
88,803,Chum,1953,NA,187825,NA,HG
89,804,Chum,1953,NA,72000,NA,HG
90,805,Chinook,1953,NA,1500,NA,HG
91,806,Chinook,1953,NA,NA,NA,HG
92,807,Coho,1953,NA,13875,NA,HG
93,808,Coho,1953,NA,875,NA,HG
94,809,Coho,1953,NA,88275,NA,HG
95,810,Pink (Even),1953,NA,NA,NA,HG
96,811,Pink (Even),1953,NA,NA,NA,HG
97,812,Pink (Even),1953,NA,NA,NA,HG
98,813,Pink (Odd),1953,NA,8275,NA,HG
99,814,Pink (Odd),1953,NA,NA,NA,HG
100,815,Pink (Odd),1953,NA,800,NA,HG
101,816,River Sockeye,1953,NA,25,NA,HG
102,817,River Sockeye,1953,NA,NA,NA,HG
103,818,River Sockeye,1953,NA,NA,NA,HG
104,819,Lake Sockeye,1953,NA,3500,NA,HG
105,820,Lake Sockeye,1953,NA,200,NA,HG
106,821,Lake Sockeye,1953,NA,NA,NA,HG
107,822,Lake Sockeye,1953,NA,NA,NA,HG
108,823,Lake Sockeye,1953,NA,3500,NA,HG
109,824,Lake Sockeye,1953,NA,NA,NA,HG
110,825,Lake Sockeye,1953,NA,NA,NA,HG
111,826,Lake Sockeye,1953,NA,NA,NA,HG
112,827,Lake Sockeye,1953,NA,3500,NA,HG
113,800,Chum,1954,NA,NA,NA,HG
114,801,Chum,1954,202373,329450,334652,HG
115,802,Chum,1954,193823,40100,227097,HG
116,803,Chum,1954,222824,207500,347413,HG
117,804,Chum,1954,394243,131250,651936,HG
118,805,Chinook,1954,NA,750,NA,HG
119,806,Chinook,1954,NA,NA,NA,HG
120,807,Coho,1954,127065,21475,167931,HG
121,808,Coho,1954,98632,2025,130354,HG
122,809,Coho,1954,213048,49475,281567,HG
123,810,Pink (Even),1954,680033,3756500,830474,HG
124,811,Pink (Even),1954,687252,241525,1004458,HG
125,812,Pink (Even),1954,665685,21700,1702861,HG
126,813,Pink (Odd),1954,NA,NA,NA,HG
127,814,Pink (Odd),1954,NA,NA,NA,HG
128,815,Pink (Odd),1954,NA,NA,NA,HG
129,816,River Sockeye,1954,NA,25,NA,HG
130,817,River Sockeye,1954,NA,NA,NA,HG
131,818,River Sockeye,1954,NA,NA,NA,HG
132,819,Lake Sockeye,1954,NA,2500,NA,HG
133,820,Lake Sockeye,1954,3000,1500,3750,HG
134,821,Lake Sockeye,1954,NA,NA,NA,HG
135,822,Lake Sockeye,1954,NA,NA,NA,HG
136,823,Lake Sockeye,1954,15000,3500,18750,HG
137,824,Lake Sockeye,1954,NA,200,NA,HG
138,825,Lake Sockeye,1954,800,3500,1000,HG
139,826,Lake Sockeye,1954,70000,NA,87500,HG
140,827,Lake Sockeye,1954,NA,3500,NA,HG
141,800,Chum,1955,NA,NA,NA,HG
142,801,Chum,1955,33683,248050,77860,HG
143,802,Chum,1955,79301,20400,85983,HG
144,803,Chum,1955,29185,132765,46867,HG
145,804,Chum,1955,13656,92625,31566,HG
146,805,Chinook,1955,NA,NA,NA,HG
147,806,Chinook,1955,NA,NA,NA,HG
148,807,Coho,1955,44016,25168,58172,HG
149,808,Coho,1955,98632,1470,130354,HG
150,809,Coho,1955,213048,15720,281567,HG
151,810,Pink (Even),1955,NA,NA,NA,HG
152,811,Pink (Even),1955,NA,NA,NA,HG
153,812,Pink (Even),1955,NA,NA,NA,HG
154,813,Pink (Odd),1955,46770,11400,77985,HG
155,814,Pink (Odd),1955,NA,3500,NA,HG
156,815,Pink (Odd),1955,NA,475,NA,HG
157,816,River Sockeye,1955,NA,25,NA,HG
158,817,River Sockeye,1955,NA,NA,NA,HG
159,818,River Sockeye,1955,NA,NA,NA,HG
160,819,Lake Sockeye,1955,NA,NA,NA,HG
161,820,Lake Sockeye,1955,NA,NA,NA,HG
162,821,Lake Sockeye,1955,NA,NA,NA,HG
163,822,Lake Sockeye,1955,NA,NA,NA,HG
164,823,Lake Sockeye,1955,NA,NA,NA,HG
165,824,Lake Sockeye,1955,NA,200,NA,HG
166,825,Lake Sockeye,1955,800,NA,1000,HG
167,826,Lake Sockeye,1955,15000,NA,18750,HG
168,827,Lake Sockeye,1955,NA,NA,NA,HG
169,800,Chum,1956,NA,NA,NA,HG
170,801,Chum,1956,90344,330400,117094,HG
171,802,Chum,1956,30209,11000,47583,HG
