,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,1120,Coho,1950,NA,NA,NA,Yukon
2,1201,Chinook,1950,NA,NA,NA,Yukon
3,1202,Chinook,1950,NA,NA,NA,Yukon
4,1203,Chinook,1950,NA,NA,NA,Yukon
5,1204,Chinook,1950,NA,NA,NA,Yukon
6,1205,Chinook,1950,NA,NA,NA,Yukon
7,1206,Chinook,1950,NA,NA,NA,Yukon
8,1207,Chinook,1950,NA,NA,NA,Yukon
9,1208,Chinook,1950,NA,NA,NA,Yukon
10,1209,Chinook,1950,NA,NA,NA,Yukon
11,1210,Chinook,1950,NA,NA,NA,Yukon
12,1211,Chinook,1950,NA,NA,NA,Yukon
13,1212,Chinook,1950,NA,NA,NA,Yukon
14,1213,Chum,1950,NA,NA,NA,Yukon
15,1214,Chum,1950,NA,NA,NA,Yukon
16,1215,Chum,1950,NA,NA,NA,Yukon
17,1216,Chum,1950,NA,NA,NA,Yukon
18,1217,Chum,1950,NA,NA,NA,Yukon
19,1218,Chum,1950,NA,NA,NA,Yukon
20,1219,Chum,1950,NA,NA,NA,Yukon
21,1120,Coho,1951,NA,NA,NA,Yukon
22,1201,Chinook,1951,NA,NA,NA,Yukon
23,1202,Chinook,1951,NA,NA,NA,Yukon
24,1203,Chinook,1951,NA,NA,NA,Yukon
25,1204,Chinook,1951,NA,NA,NA,Yukon
26,1205,Chinook,1951,NA,NA,NA,Yukon
27,1206,Chinook,1951,NA,NA,NA,Yukon
28,1207,Chinook,1951,NA,NA,NA,Yukon
29,1208,Chinook,1951,NA,NA,NA,Yukon
30,1209,Chinook,1951,NA,NA,NA,Yukon
31,1210,Chinook,1951,NA,NA,NA,Yukon
32,1211,Chinook,1951,NA,NA,NA,Yukon
33,1212,Chinook,1951,NA,NA,NA,Yukon
34,1213,Chum,1951,NA,NA,NA,Yukon
35,1214,Chum,1951,NA,NA,NA,Yukon
36,1215,Chum,1951,NA,NA,NA,Yukon
37,1216,Chum,1951,NA,NA,NA,Yukon
38,1217,Chum,1951,NA,NA,NA,Yukon
