Species,Region,Year,prov_runsize_raw,prov_runsize_relative
Sockeye,Fraser,1954,12198308 , 42.54 
Sockeye,Fraser,1955,2746528 , 9.58 
Sockeye,Fraser,1956,2866977 , 10.00 
Sockeye,Fraser,1957,5401219 , 18.84 
Sockeye,Fraser,1958,18778820 , 65.49 
Sockeye,Fraser,1959,4769576 , 16.63 
Sockeye,Fraser,1960,3421281 , 11.93 
Sockeye,Fraser,1961,4713837 , 16.44 
Sockeye,Fraser,1962,3512304 , 12.25 
Sockeye,Fraser,1963,3985486 , 13.90 
Sockeye,Fraser,1964,1824500 , 6.36 
Sockeye,Fraser,1965,3166871 , 11.04 
Sockeye,Fraser,1966,5459849 , 19.04 
Sockeye,Fraser,1967,6803585 , 23.73 
Sockeye,Fraser,1968,2955662 , 10.31 
Sockeye,Fraser,1969,4941025 , 17.23 
Sockeye,Fraser,1970,6163676 , 21.50 
Sockeye,Fraser,1971,7696359 , 26.84 
Sockeye,Fraser,1972,3708113 , 12.93 
Sockeye,Fraser,1973,6878291 , 23.99 
Sockeye,Fraser,1974,8616165 , 30.05 
Sockeye,Fraser,1975,3683576 , 12.85 
Sockeye,Fraser,1976,4340815 , 15.14 
Sockeye,Fraser,1977,5887114 , 20.53 
Sockeye,Fraser,1978,9420144 , 32.85 
Sockeye,Fraser,1979,6358912 , 22.18 
Sockeye,Fraser,1980,3133187 , 10.93 
Sockeye,Fraser,1981,7741247 , 27.00 
Sockeye,Fraser,1982,13985095 , 48.77 
Sockeye,Fraser,1983,5240936 , 18.28 
Sockeye,Fraser,1984,5919324 , 20.64 
Sockeye,Fraser,1985,13878493 , 48.40 
Sockeye,Fraser,1986,15927438 , 55.55 
Sockeye,Fraser,1987,7680095 , 26.79 
Sockeye,Fraser,1988,3773551 , 13.16 
Sockeye,Fraser,1989,18594484 , 64.85 
Sockeye,Fraser,1990,21985937 , 76.68 
Sockeye,Fraser,1991,12390664 , 43.21 
Sockeye,Fraser,1992,6442239 , 22.47 
Sockeye,Fraser,1993,23630664 , 82.41 
Sockeye,Fraser,1994,17284640 , 60.28 
Sockeye,Fraser,1995,4020414 , 14.02 
Sockeye,Fraser,1996,4520445 , 15.77 
Sockeye,Fraser,1997,16351769 , 57.03 
Sockeye,Fraser,1998,10873000 , 37.92 
Sockeye,Fraser,1999,3643000 , 12.71 
Sockeye,Fraser,2000,5217000 , 18.19 
Sockeye,Fraser,2001,7213000 , 25.16 
Sockeye,Fraser,2002,15137000 , 52.79 
Sockeye,Fraser,2003,4873502 , 17.00 
Sockeye,Fraser,2004,4184200 , 14.59 
Sockeye,Fraser,2005,7077100 , 24.68 
Sockeye,Fraser,2006,12981200 , 45.27 
Sockeye,Fraser,2007,1510200 , 5.27 
Sockeye,Fraser,2008,1740974 , 6.07 
Sockeye,Fraser,2009,1416346 , 4.94 
Sockeye,Fraser,2010,28672816 , 100.00 
Sockeye,Fraser,2011,5108335 , 17.82 
Sockeye,Fraser,2012,2219156 , 7.74 
Sockeye,Fraser,2013,3928426 , 13.70 
Sockeye,Fraser,2014,20143305 , 70.25 
Sockeye,Fraser,2015,2230303 , 7.78 
Sockeye,Fraser,2016,893494 , 3.12 
Sockeye,Fraser,2017,1480835 , 5.16 
Sockeye,Fraser,2018,10621718 , 37.04 
Sockeye,Fraser,2019,493000 , 1.72 
