"Species","Region","Year","prov_runsize_raw","prov_runsize_relative"
"Chinook","CC",1985,58168,62.3377736815595
"Chinook","CC",1986,58332,62.5135300232556
"Chinook","CC",1987,41527,44.5038634244623
"Chinook","CC",1988,39456,42.2844037680445
"Chinook","CC",1989,46351,49.6736719143509
"Chinook","CC",1990,48045,51.4891063218699
"Chinook","CC",1991,41176,44.1277019858323
"Chinook","CC",1992,70693,75.7606284360901
"Chinook","CC",1993,79563,85.2664744778215
"Chinook","CC",1994,49095,52.6143755827287
"Chinook","CC",1995,54203,58.0885426155544
"Chinook","CC",1996,44044,47.2012945954925
"Chinook","CC",1997,44056,47.2141548156166
"Chinook","CC",1998,56915,60.9949523636013
"Chinook","CC",1999,46241,49.5557865632133
"Chinook","CC",2000,57123,61.2178628457524
"Chinook","CC",2001,59424,63.6838100545488
"Chinook","CC",2002,48255,51.7141601740416
"Chinook","CC",2003,43940,47.089839354417
"Chinook","CC",2004,54016,57.8881375186205
"Chinook","CC",2005,63088,67.610463932441
"Chinook","CC",2006,60588,64.9312514065866
"Chinook","CC",2007,46143,49.4507614321998
"Chinook","CC",2008,30584,32.7764143562924
"Chinook","CC",2009,39151,41.9575398398903
"Chinook","CC",2010,41285,44.2445156519596
"Chinook","CC",2011,41680,44.6678312310446
"Chinook","CC",2012,19172,20.5463450182722
"Chinook","CC",2013,55481,59.4581560587712
"Chinook","CC",2014,49446,52.9905370213587
"Chinook","CC",2015,93311,100
"Chinook","CC",2016,60630,64.9762621770209
"Chinook","CC",2017,29994,32.1441202001908
"Chinook","Nass",1986,48930,100
"Chinook","Nass",1987,27449,56.098508072757
"Chinook","Nass",1988,21690,44.3286327406499
"Chinook","Nass",1989,37153,75.9309217249131
"Chinook","Nass",1990,33728,68.9311260985081
"Chinook","Nass",1991,12771,26.1005518087063
"Chinook","Nass",1992,35810,73.1861843449826
"Chinook","Nass",1993,45916,93.8401798487635
"Chinook","Nass",1994,42760,87.3901491927243
"Chinook","Nass",1995,21849,44.653586756591
"Chinook","Nass",1996,42061,85.9615777641529
"Chinook","Nass",1997,36694,74.9928469241774
"Chinook","Nass",1998,46174,94.3674637236869
"Chinook","Nass",1999,29353,59.9897813202534
"Chinook","Nass",2000,33122,67.692622113223
"Chinook","Nass",2001,47688,97.4616799509503
"Chinook","Nass",2002,28609,58.4692417739628
"Chinook","Nass",2003,43866,89.6505211526671
"Chinook","Nass",2004,33726,68.9270386266094
"Chinook","Nass",2005,27887,56.9936644185571
"Chinook","Nass",2006,44127,90.1839362354384
