"Species","Region","Year","reg_runsize_raw","reg_runsize_relative"
"Chinook","CC",1985,9694.66666666667,40.9614404500828
"Chinook","CC",1986,9722,46.7068733657531
"Chinook","CC",1987,6921.16666666667,37.9758072632058
"Chinook","CC",1988,6576,33.6158701957407
"Chinook","CC",1989,7725.16666666667,29.4176142118384
"Chinook","CC",1990,8007.5,37.3184693603778
"Chinook","CC",1991,6862.66666666667,30.7586183038399
"Chinook","CC",1992,11782.1666666667,49.0741623889282
"Chinook","CC",1993,13260.5,47.8953034780834
"Chinook","CC",1994,8182.5,31.0928346877159
"Chinook","CC",1995,9033.83333333333,25.5703932313822
"Chinook","CC",1996,7340.66666666667,25.7876119975185
"Chinook","CC",1997,7342.66666666667,28.738893348902
"Chinook","CC",1998,9485.83333333333,48.25591275145
"Chinook","CC",1999,7706.83333333333,34.1238665702798
"Chinook","CC",2000,9520.5,41.4410403720199
"Chinook","CC",2001,9904,49.18560965727
"Chinook","CC",2002,8042.5,49.5445294016876
"Chinook","CC",2003,7323.33333333333,38.6192395576019
"Chinook","CC",2004,9002.66666666667,45.3105520188051
"Chinook","CC",2005,10514.6666666667,44.5930505623256
"Chinook","CC",2006,10098,47.7824135375772
"Chinook","CC",2007,7690.5,49.6055287155656
"Chinook","CC",2008,5097.33333333333,24.7908031910125
"Chinook","CC",2009,7830.2,38.8793383850794
"Chinook","CC",2010,8257,28.721366857641
"Chinook","CC",2011,6946.66666666667,28.8891663668849
"Chinook","CC",2012,3834.4,15.8145245001808
"Chinook","CC",2013,11096.2,43.5536677197684
"Chinook","CC",2014,9889.2,39.0796150454579
"Chinook","CC",2015,18662.2,55.9460957782291
"Chinook","CC",2016,12126,42.5405759171327
"Chinook","CC",2017,5998.8,21.3455191175619
"Chinook","Nass",1986,24465,71.707357581797
"Chinook","Nass",1987,13724.5,46.8777338588912
"Chinook","Nass",1988,10845,36.9399250046893
"Chinook","Nass",1989,18576.5,49.5870128973557
"Chinook","Nass",1990,16864,58.2872195064633
"Chinook","Nass",1991,6385.5,24.8767695769129
"Chinook","Nass",1992,17905,49.9433719036084
"Chinook","Nass",1993,22958,61.5178836389475
"Chinook","Nass",1994,21380,87.7250131133427
"Chinook","Nass",1995,10924.5,37.4077857934515
"Chinook","Nass",1996,21030.5,58.7650767582196
"Chinook","Nass",1997,18347,59.0616282140814
"Chinook","Nass",1998,23087,68.1252666936701
"Chinook","Nass",1999,14676.5,46.2889286696264
